round,white,black,type,y
1,firouzja,carlsen,classic,2
1,firouzja,carlsen,armageddon,2
1,tari,rapport,classic,3
1,nepomniachtchi,karjakin,classic,1
2,nepomniachtchi,firouzja,classic,2
2,nepomniachtchi,firouzja,armageddon,1
2,carlsen,tari,classic,2
2,carlsen,tari,armageddon,1
2,karjakin,rapport,classic,2
2,karjakin,rapport,armageddon,2
3,firouzja,karjakin,classic,2
3,firouzja,karjakin,armageddon,3
3,tari,nepomniachtchi,classic,2
3,tari,nepomniachtchi,armageddon,3
3,rapport,carlsen,classic,2
3,rapport,carlsen,armageddon,2
4,tari,karjakin,classic,2
4,tari,karjakin,armageddon,3
4,carlsen,nepomniachtchi,classic,2
4,carlsen,nepomniachtchi,armageddon,1
4,rapport,firouzja,classic,1
5,firouzja,nepomniachtchi,classic,1
5,tari,carlsen,classic,2
5,tari,carlsen,armageddon,1
5,rapport,karjakin,classic,1
6,carlsen,firouzja,classic,1
6,rapport,tari,classic,1
6,karjakin,nepomniachtchi,classic,2
6,karjakin,nepomniachtchi,armageddon,1
7,firouzja,nepomniachtchi,classic,1
7,tari,carlsen,classic,3
7,rapport,karjakin,classic,1
8,nepomniachtchi,tari,classic,3
8,carlsen,rapport,classic,1
8,karjakin,firouzja,classic,3
9,tari,firouzja,classic,3
9,carlsen,karjakin,classic,1
9,rapport,nepomniachtchi,classic,2
9,rapport,nepomniachtchi,armageddon,3
10,firouzja,rapport,classic,1
10,nepomniachtchi,carlsen,classic,2
10,nepomniachtchi,carlsen,armageddon,3
10,karjakin,tari,classic,2
10,karjakin,tari,armageddon,1
